pais_de_origem;razao_social;cnpj;logradouro;cidade;uf;cep;e_mail;cotm;vigencia Mês;Vigência Dia;Vigência Ano
BRASIL;Four Ways Transportes Ltda;42994724000148;AV. TANCREDO NEVES Nº 1.543 - SALA 903 - ED. CENTRO COMERCIAL GARCIA DÁVILA;Salvador;BA;41820021;OPERACIONAL@FOURWAYS.COM.BR;1382-1023;10;26;2033
BRASIL;Intermaritima Terminais Ltda;96825575000112;Av. Engenheiro Oscar Pontes, S/N, Água de Meninos, Porto de Salvador.;Salvador;BA;40460130;railton@intermaritima.com.br;0158-1205;12;28;2015
BRASIL;Hjl Serviços Logísticos Ltda - Epp;17327576000160;Rua São Francisco, S/n Lote 53, Galpão 2 - Valéria;Salvador;BA;41301520;administrativo@hjllog.com.br;0593-1113;11;11;2023
BRASIL;Global Ship Service Eireli;9444141000178;AV. TANCREDO NEVES, Nº 274, BLOCO A, SALA 734-A - CAMINHO DAS ÁRVORES;Salvador;BA;41820020;adm@globalship.com.br;1130-1220;12;14;2030
BRASIL;Brandão Courier Transportes E Kaizen Ensinar Ltda Me;15565840000179;Rua Thomaz Gonzaga, nº 115, sala 206 - Edifício Três Nações;Salvador;BA;41100000;brandao.frankle@gmail.com;0676-0515;5;12;2025
BRASIL;Ccmt Serviços Eireli;24717921000138;AVENIDA LUIS VIANA FILHO, Nº 12, LOJA 01 - PARALELA;Salvador;BA;41730101;nelcri1@hotmail.com;1187-0821;8;4;2031
BRASIL;Wlsp Logística E Construção Eireli;12900846000167;Est. da Liberdade, nº 33. lj 02, térreo - Liberdade;Salvador;BA;40375017;wlspltda@gmail.com;0932-0918;9;12;2028
BRASIL;G3 Polaris Serviços Eireli;20155999000155;Rua do DNER, km 22 - Centro;Simões Filho;BA;43700000;g3polaris@gmail.com;0933-0918;9;12;2028
BRASIL;José Rubem Transportes E Equipamentos Ltda.;32625733000108;Via Centro, 3644 - Cia - Caixa Postal 3131;Simões Filho;BA;43700000;jose-rubem@joserubem.com.br;0093-0805;8;17;2015
BRASIL;Tpc Logística  Nordeste S.A.;13332013000100;ACS B. Nº 552 QUADRA 03 - LOTE 01 A 11 - SN - TÉRREO - PQ. INDUSTRIAL CIA SUL;Simões Filho;BA;43700000;fiscal@grupotpc.com;0997-0619;6;18;2029
BRASIL;Logic Soluções Logísticas Ltda;15101228000145;Via Acesso II BR 324, nº 1796 - Cia Sul;Simões Filho;BA;43700000;dmuricy@logiclogistica.com.br;0960-1218;12;13;2028
BRASIL;Mma Transportes De Cargas Ltda;12147259000149;Via Urbana, nº 4466, sala 01, Cia Sul;Simões Filho;BA;43700000;mila@logtrade.com.br;1330-0223;2;15;2033
BRASIL;Multitex Logística Ltda;28492544000137;Avenida Prudente de Morais, nº 287 - Santo Antônio;Belo Horizonte;MG;30350093;adrielle.mairink@multitex.com.br;0827-0317;3;8;2027
BRASIL;Link Logistic Group Empreendimentos Ltda;8294859000162;Rua Desembargador Jorge Fontana, 80/1601 - Belvedere;Belo Horizonte;MG;30320670;Icabrantes@linklogistic.com.br;0416-0910;9;23;2020
BRASIL;Link Logística E Serviços Ltda;8775225000121;Rua Pernambuco, nº 1002 - conjunto 402 - sala 2;Belo Horizonte;MG;30130151;lcabrantes@linklogistic.com.br;0770-0616;6;28;2026
BRASIL;Power Express Logística E Transportes Ltda - Me;71154462000101;RUA TITÂNIO, 123 - CAMARGOS;Belo Horizonte;MG;30520150;comexaereo@yahoo.com.br;0526-1112;11;7;2022
BRASIL;Quick Delivery Belo Horizonte Entregas Rápidas De Encomendas Ltda-Me;11949412000199;Avenida Heraclito Mourão de Miranda, nº 23289 - Santa Terezinha;Belo Horizonte;MG;31365203;edson@quickdelivery.com.br;0688-0715;7;9;2025
BRASIL;Transcourier Ltda - Me;3220264000149;RUA JOSÉ CLETO Nº 1010 - PALMARES;Belo Horizonte;MG;31155290;MAURICIO@TRANSCOURIERBH.COM.BR;0835-0617;6;8;2027
BRASIL;Transexcedente Ltda;5763642000166;RUA GABRIELA DE MELO, 565 – BAIRRO OLHOS D’ÁGUA;Belo Horizonte;MG;30390080;adalcir@transpeciais.com.br;0216-1106;11;16;2016
BRASIL;Trijay Transportes Aduaneiros Ltda;14625425000109;Rua Ministro Orozimbo Nonato, nº 392, galpão 4 - Dona Clara;Belo Horizonte;MG;31260230;operacional01@trijaytransportes.com.br;0925-0818;8;21;2028
BRASIL;Velox Transportes E Serviços Ltda;3777357000179;Avenida Silviano Brandão, nº 1205, sala 01, Sagarda Família;Belo Horizonte;MG;31030105;velox@veloxtrans.com.br;0605-0114;1;27;2024
BRASIL;Ventana Serra Do Brasil Agenciamento De Cargas Ltda;4915315000110;Avenida contorno nº 6.500 - 8º andar - salas 803 e 804 - Savassi;Belo Horizonte;MG;30110044;dfaustino@ventanaserra.com.br;0758-0616;4;16;2034
BRASIL;Sure Logística Ltda;17062517000108;RUA AMOROSO COSTA, Nº 242, SALA 201 A 205 E 301 A 305 - SANTA LUCIA;Belo Horizonte;MG;30350570;qualidade@loglifelogistica.com.br;0635-0814;8;5;2024
BRASIL;L&T Escritório De Negócios Internacionais Ltda;7287199000120;AVENIDA DO CONTORNO, 4.480 - CONJUNTO 1.301 a 1.305, BAIRRO - FUNCIONÁRIOS;Belo Horizonte;MG;30110090;cid@ltcomex.com.br;0634-0814;8;5;2024
BRASIL;Intertex Operador Multimodal Ltda;25103257000108;Avenida Prudente de Morais, nº 287 - sala 304 - Santo Antonio;Belo Horizonte;MG;30350093;adrielle.mairink@multitex.com.br;0828-0317;3;20;2027
BRASIL;In Time Logística Ltda.;6059373000114;Rua Marcos Lopes de Almeida, nº 91 - Santa Branca;Belo Horizonte;MG;31565020;jbatista@intimelogistica.com.br;0652-1214;12;23;2024
BRASIL;Full Log Transportes Ltda;4654218000110;Rua Patolandia, nº 50 - C - Fernão Dias;Belo Horizonte;MG;31170545;fl@fltrans.com.br;0832-0517;5;10;2027
BRASIL;F.O.Franco Encomendas Expressas;18385794000114;RUA JOSE FELIX 713 - MANTIQUEIRA;Belo Horizonte;MG;31660100;felipe.franco@aerominas.com.br;1465-0125;1;3;2035
BRASIL;Empresa De Transportes Apoteose Ltda;66455536000100;RUA PATOLANDIA, Nº 08/50 - BAIRRO FERNÃO DIAS;Belo Horizonte;MG;31170545;emtel@emteltrans.com.br;0600-0114;1;21;2024
BRASIL;Cousin Solutions Comércio, Distribuição, Serviços E Participações Ltda;9261302000198;RUA BARRA LONGA Nº 58 - LOJA Nº 02 - SALGADO FILHO;Belo Horizonte;MG;30550430;COMERCIAL@COUSINSOLUTIONS.COM;1065-0320;3;20;2030
BRASIL;Av Logística Express Ltda ;30754601000150;Rua  Areado, 294 - Carlos Prates;Belo Horizonte;MG;30710530;eversson.senra@avlogexpress.com.br;0974-0219;2;12;2029
BRASIL;Axis Shipping Agenciamento De Cargas Ltda;7022330000127;RUA GONÇALVES DIAS, 2132 SALA 1100 - BAIRRO -  LOURDES;Belo Horizonte;MG;30140092;daniellakassab@axissgipping.com.br;1050-0120;1;27;2030
BRASIL;Action Agenciamento De Cargas Ltda;7433647000156;AV. BARÃO HOMEM DE MELO Nº 3382 - 7º ANDAR (SALAS 701 E 702) E 8º ANDAR (SALA 801) - ESTORIL;Belo Horizonte;MG;30494270;dlegalizacao@escritoriocontabilsc.com.br;1310-1122;11;17;2032
BRASIL;Vli Multimodal S.A.;42276907000128;Rua Sapucaí, nº 383 - Bairro Floresta;Belo Horizonte;MG;30150904;marcos.magirius@vli-logistica.com.br;0790-0816;6;10;2036
BRASIL;Vli Multimodal S.A.;42276907000128;Rua Sapucaí, nº 383 - Bairro Floresta;Belo Horizonte;MG;30150904; regulatorio@vli-logistica.com.br;0790-0816;6;10;2036
BRASIL;RCL RODE CONCEPT LOGISTICA LTDA;50811709000145;AV RAJA GABAGLIA;Belo Horizonte;MG;30494310;marques@rode-concep-logistics.com;1518-1025;10;21;2035
BRASIL;SUPER URGENTE TRANSPORTE AEREO E RODOVIARIO LTDA;13642117000110;Rua NORALDINO LIMA, nª 580;Belo Horizonte;MG;31260250;licitacao2@mixcargo.com.br;1499-0525;5;13;2035
BRASIL;Ceva Logistics Ltda;43854116000109;AVENIDA MIRAFIORI Nº 233 - BLOCO B - SALA A - DISTRITO INDUSTRIAL PAULO CAMILO PENA;Betim;MG;32669154;EDENOR.MAZAIA@CEVALOGISTICS.COM;1009-0819;8;16;2029
BRASIL;Expresso Minas Frios Ltda;5151226000107;Avenida Engenheiro Darcy Nogueira do Pinho, nº 3201, Galpão 2, Módulo 2 - Vila Cristina;Betim;MG;32675515;comercial@emflogistica.com.br;0527-1112;8;3;2033
BRASIL;TORA RECINTOS ALFANDEGADOS S/A;86613403000121;Rodovia Fernão Dias - BR 381 - S/N - Km 490, Jardim Alterosa;Betim;MG;32670790;roberto.farace@tora.com.br;0133-1005;4;25;2035
BRASIL;TORA RECINTOS ALFANDEGADOS S/A;86613403000121;Rodovia Fernão Dias - BR 381 - S/N - Km 490, Jardim Alterosa;Betim;MG;32670790;fiscal@tora.com.br;0133-1005;4;25;2035
BRASIL;Transportes Pesados Minas S.A.;17215039000129;VIA EXPRESSA 15.999 - BAIRRO VILA CRISTINA;Betim;MG;32675005;alfonso@transpes.com.br;0108-0805;8;15;2034
BRASIL;Bauminas Log E Transportes S.A.;14429795000162;Rua João Dias Neto, nº 38, Galpão 01 - Vila Reis;Cataguases;MG;36770228;kassio.correa@bauminas.com.br;0961-0119;1;8;2029
BRASIL;Biotech Logística Ltda;21382943000104;Avenida Sócrates Mariani Bittencourt, número 1050;Contagem;MG;32010010;bruna@biotechlogistica.com.br;0665-0315;6;9;2035
BRASIL;Biotech Logística Ltda;21382943000104;Avenida Sócrates Mariani Bittencourt, número 1050;Contagem;MG;32010010;gustavo.lacerda@biotech-company.com;0665-0315;6;9;2035
BRASIL;Autolog Transportes  Logística E Armazenagem  Ltda;8875763000783;Rua Reginaldo Souza Lima, nº 800, Bairro Bernardo Monteiro;Contagem;MG;32010370;COMERCIAL@GRUPOAUTOLOG.COM.BR;0300-0608;6;23;2018
BRASIL;Ali-Autolog Logística Integrada Ltda;7672060000108;RUA REGINALDO DE SOUZA LIMA - Nº 800 - SALA A - BERNARDO MONTEIRO;Contagem;MG;32010370;OTAVIO@AUTOLOGEXPRESS.COM.BR;0866-1017;10;5;2027
BRASIL;Bravus Transportes E Logística Ltda;14271042000171;Avenida Tomaz Gonzaga, nº 55 - Inconfidentes;Contagem;MG;32260150;halanna@smmconcultoria.com.br;0573-0813;8;5;2023
BRASIL;Fjr Engenharia E Construções Ltda;11312768000117;Praça París, nº 192, Loja 01 - Santa Cruz Industrial;Contagem;MG;32340460;gustavoskiadv@gmail.com;1188-0821;8;11;2031
BRASIL;Tora Logística Armazéns E Terminais Multimodais S/A;66702325000124;Via Ápio Cardoso, nº 20 ;Contagem;MG;32371615;roberto.farace@tora.com.br;0061-0505;3;10;2035
BRASIL;Tora Logística Armazéns E Terminais Multimodais S/A;66702325000124;Via Ápio Cardoso, nº 20 ;Contagem;MG;32371615;fiscal@tora.com.br;0061-0505;3;10;2035
BRASIL;Tora Transportes Ltda;20468310000142;Avenida Ápio Cardoso nº 20 - sala  11 ;Contagem;MG;32371615;roberto.farace@tora.com.br;0037-0405;4;30;2035
BRASIL;Tora Transportes Ltda;20468310000142;Avenida Ápio Cardoso nº 20 - sala  11 ;Contagem;MG;32371615;fiscal@tora.com.br;0037-0405;4;30;2035
BRASIL;Multiservice Transportes Multimodal Ltda;10173996000190;ROD BR-040, S/N, KM 522/523 - MORADA NOVA;Contagem;MG;32145480;eliane@logservicetrans.com.br;1273-0722;7;7;2032
BRASIL;MOVVI LOGÍSTICA LTDA;23864838000129; Rua Dois nº 230;Contagem;MG;32250010;CONTABILIDADE@MOVVI.COM.BR;1505-0725;7;3;2035
BRASIL;Vito Transportes Ltda.;17182742000188;Rua Zeze Camargos, nº 280, Cidade Industrial;Contagem;MG;32210080;vito@vito.com.br;0009-0305;3;23;2015
BRASIL;Transcota Logística Ltda;21545694000112;RUA LAMBARI, 190 - BAIRRO - LOURDES;João Monlevade;MG;35930070;contato@transcota.com;0838-0617;6;19;2027
BRASIL;Rodoseg Logística Em Transportes Ltda - Me;10554902000123;RUA ANTÔNIO SCANAPIECO, 55 - NOVA ERA;Juiz de Fora;MG;36087270;licitacao@rodoseglogistica.com.br;0687-0715;7;9;2025
BRASIL;Matos E Ribeiro Carga Segura Ltda;40579894000130;Rua Zacarias de Lima, nº 130 , Sala 02, Centro;Lagoa Formosa;MG;38720000;matoseribeirocargas@gmail.com;1160-0521;5;25;2031
BRASIL;Ribeiro Operadora De Cargas Ltda;36538565000174;RUA ZACARIAS DE LIMA Nº 120, SALA 04 -  CENTRO;Lagoa Formosa;MG;38720000;rmcargasegura@gmail.com;1070-0420;4;17;2030
BRASIL;Expresso Log Transporte E Logística Ltda;1374153000161;Rua Comandante Soares Júnior, nº 101, Letra A - Artur Bernardes;Lavras;MG;37205034;gustavo@expessolostransportes.com.br;0954-1018;10;19;2028
BRASIL;Expresso Log Transporte E Logística Ltda;1374153000161;Rua Comandante Soares Júnior, nº 101, Letra A - Artur Bernardes;Lavras;MG;37205034;mariacon.fera@gmail.com;0954-1018;10;19;2028
BRASIL;Arminter Comércio Exterior Ltda.;26386235000157;Alameda do Ingá, 95 - 1º Andar - Vale do Sereno;Nova Lima;MG;34000000;rohlfs@arminter.com.br;0104-0805;8;18;2015
BRASIL;Multicargo Container Service Ltda;65153090000104;Rua Wichita, nº 49 - Jardim Canadá;Nova Lima;MG;34000000;cynthia@multicargo.com.br;0830-0317;3;27;2027
BRASIL;Biologística Soluções Em Logística E Serviços Eireli;7837315000137;AV. ADAIR DE SOUZA, Nº 888 - BELO VALE;Santa Luzia;MG;33113010;ricardo.pinheiro@biologistica.com.br;0484-0412;5;19;2032
BRASIL;Hera Transportes Ltda - Epp;11501873000102;Rua Escócia, nº 289 - Jardim Universitário;Sete Lagoas;MG;35702144;hera@heratransportes.com.br;0919-0818;8;21;2028
BRASIL;SETE LAGOAS TRANSPORTES LTDA;3098929000193;AV PREFEITO ALBERTO MOURA ;Sete Lagoas;MG;35702383;CONTATO@EFICAZGESTAOTRIBUTARIA.COM.BR;1493-0525;5;6;2035
BRASIL;Bravo Serviços Logísticos Ltda;950001000105;BR 050, km 185, sobreloja 08 - Zona Rural;Uberaba;MG;38055010;marcos.ribeiro@bravolog.com.br;0930-0918;9;12;2028
BRASIL;Cj Logística Do Brasil Ltda;30408492000110;Av. Rondon Pacheco - UBT - Uberlândia Business Tower - nº 4600 -  Sala 92 e 93 - 9º andar - Tibery;Uberlândia;MG;38400766;arthur.hong@cj.net;0959-1218;12;13;2028
BRASIL;Cj Logística Do Brasil Ltda;30408492000110;Av. Rondon Pacheco - UBT - Uberlândia Business Tower - nº 4600 -  Sala 92 e 93 - 9º andar - Tibery;Uberlândia;MG;38400766; sinara.baungartencj.net;0959-1218;12;13;2028
BRASIL;Newlog Logística Ltda;47520037000104;Avenida Rui de Castro Santos, nº 1991, loja 112 - Glebas;Uberlândia;MG;38406260;izabelcristina@km93log.com;1305-1022;10;17;2032
BRASIL;Supporte Armazenagem, Vendas E Logística Integrada Ltda;3447983000105;BR. 365, KM 622, S/N - ZONA RURAL;Uberlândia;MG;38401730;fiscal@supportelogistica.com.br;0497-0712;7;17;2022
BRASIL;Lima E Ciacci Encomendas Urgentes Ltda - Me;13447924000182;Alameda Miguel Paschoal, nº 110 - Jardim Vale dos Ypes;Varginha;MG;37026590;franco@projetoslogisticos.com.br;0843-0717;7;4;2027
BRASIL;Cwaduana Log Ltda;28654299000117;Avenida Salum Assad David, nº 720, loja 02, Santa Luiza;Varginha;MG;37062650;camila@cwaduana.com.br;1321-0123;1;30;2033
BRASIL;Cwaduana Log Ltda;28654299000117;Avenida Salum Assad David, nº 720, loja 02, Santa Luiza;Varginha;MG;37062650; rosiane.frnacisco@grupocwaduana.com.br;1321-0123;1;30;2033
BRASIL;Gt Minas Transportes E Distribuidora Ltda;7275520000156;RUA ZOROASTRO HENRIQUE AMORIM, 450 - DISTRITO INDUSTRIAL;Varginha;MG;37066415;luciano@gtminas.com.br;0999-0619;6;19;2029
BRASIL;Gt Minas Transportes E Distribuidora Ltda;7275520000156;RUA ZOROASTRO HENRIQUE AMORIM, 450 - DISTRITO INDUSTRIAL;Varginha;MG;37066415; contabil@gtminas.com.br;0999-0619;6;19;2029
BRASIL;OASIS TRANSPORTES E LOGÍSTICA SA;22045683000136;AV. PRINCESA DO SUL Nº 860;Varginha;MG;37026080;DEMERSONSOUZA@OASISLOG.COM.BR;1510-0725;7;30;2035
BRASIL;Company Life Comércio De Produtos Médicos & Logística Eireli;31852609000112;RUA BARBACENA, Nº 79 - SANTA CLARA;Vespasiano;MG;33206004;fernanda@companylogistica.com.br;1008-0819;8;16;2029
BRASIL;Company Life Comércio De Produtos Médicos & Logística Eireli;31852609000112;RUA BARBACENA, Nº 79 - SANTA CLARA;Vespasiano;MG;33206004; wallerson@companylifelog.com.br;1008-0819;8;16;2029
BRASIL;Carbolog Vespasiano Ltda;39488901000100;RUA ANTONIO ARAÚJO DO VALE, Nº 815 B, SALA B - SANTO ANTONIO;Vespasiano;MG;33200412;b.yung@grupounimetal.com.br;1195-1021;10;8;2031
BRASIL;Simas Logistica Ltda ;13360985000108;Av. Tres, 311, Cond. Parque Norte -  Morro Alto;Vespasiano;MG;33200000;simasdaniel@simaslog.com.br;0968-0119;1;18;2029
BRASIL;Unicarbo Ltda;40281568000142;R ANTONIO ARAUJO DO VALE, Nº 815 B - SANTO ANTONIO;Vespasiano;MG;33200412;a.breves@grupounimetal.com.br;1257-0522;5;19;2032
BRASIL;Multilift Logística Ltda;7744919000139;Av. Vale do Rio Doce, s/n - Jardim América;Cariacica;ES;29015140;jcarlos@multilift.com.br;0850-0717;7;18;2027
BRASIL;Mrd Armazém E Logística Ltda;34585275000237;Avenida Vale do Rio Doce, nº  60 - Porto de Santana;Cariacica;ES;29730000;john@mrdlog.com;1261-0522;5;24;2032
BRASIL;Vix Transportes Dedicados Ltda;9452900000144;AV MARIO GURGEL  5030 -  sala 105 - Vila Capixaba;Cariacica;ES;29148901;mara@vix.com.br;0946-1018;10;19;2028
BRASIL;Zon Logística - Armazêns Gerais E Serviços Ltda;27487297000118;ROD BR 259, JOÃO NEIVA, BAIXO GUANDU, KM 50,3, S/N,  ARMAZÉM - SANTA HELENA;Colatina;ES;29705760;marco.zon@grupozon.com.br;1002-0719;7;11;2029
BRASIL;NIMBUS EXPRESS TRANSPORTES LTDA;13902480000128;Rua Rio de Janeiro, nº 373;Serra;ES;29167032;FATURAMENTO@NIMBUSEXPRESS.COM.BR;1471-0225;2;14;2035
BRASIL;TRANSUIÇA LOCAÇÃO E PRESTAÇÃO DE SERVIÇOS LTDA;32466732000168;Rua Francisco Sousa dos Santos, nº 891;Serra;ES;29164153;juliano@transuica.com.br;1538-0526;5;4;2036
BRASIL;Velten Logistica E Transporte Ltda;5593147000156;RUA 6 D, Nº 688, LOTE 1, 2, 3 ENGLOBADOS, QUADRA 13 D - CIVIT II;Serra;ES;29168070;contratos2@contabilservice.com.br;1178-0621;6;25;2031
BRASIL;Transporte Excelsior Ltda;32492373000113;Avenida Copacabana S/N - Morada de Laranjeiras;Serra;ES;29166820;psimoes@transporteexcelsior.com.br;0392-0610;6;30;2020
BRASIL;Transportes Excelsior Ltda;32429373000113;Avenida Copacabana S/N - Morada de Laranjeiras;Serra;ES;29166820;contabilidade@grupoloureiro.com.br;0004-0205;7;13;2030
BRASIL;Rrs Transportes E Logística Eireli;18899804000130;Avenida Eldes Scherrer Souza, 2230, sala 804 - Colina de Laranjeiras;Serra;ES;29167080;gerencia@rrsexpress.com.br;0989-0519;5;31;2029
BRASIL;Br Samor Logistica Express Ltda;10750264000116;RUA PORTO ALEGRE Nº 307 GALPAO 002 ARMZ 01 - NOVA ZELÂNDIA;Serra;ES;29175706;bruno@eteccontabilidade.com.br;1436-0824;8;7;2034
BRASIL;Gaier Veículos Eireli;17524342000103;AV. ELDES SCHERRER SOUZA, 1025, SALA 1115 - PARQUE RESIDENCIAL LARANJEIRAS;Serra;ES;29165680;gaier@gaierlocadora.com.br;1007-0819;8;14;2029
BRASIL;Enivix Ltda;4838701000155;AV. 100 -  S/N - QUADRA 01 - MÓDULOS 10 A 17 - SETOR INDUSTRIAL TIMS;Serra;ES;29161384;agiusfiscal2@agiuscontabil.com.br;1123-1120;11;11;2030
BRASIL;Fortcargo Transportes Ltda;17803300000101;RUA 6 D, Nº 68, SALA 03, BOX 04 - CIVIT II;Serra;ES;29168070;contratos2@contabilservice.com.br;1177-0621;6;25;2031
BRASIL;Superior Transportes Locação E Logística Ltda - Me;19352454000150;Rod. BR 262, s/n, km 10 - salas 1, 12, 13 - Parque Industrial;Viana;ES;26136522;ewerton@superiortransportes.com.br;0785-0716;7;28;2026
BRASIL;T S Quintão Aviva Logistica;54177877000181;RUA MARIA DE OLIVEIRA MARES, Nº 2 - ITAPARICA;Vila Velha;ES;29102245;tiagosoaresquintao@gmail.com;1417-0424;4;11;2034
BRASIL;Multirail Serviços Empresariais Ltda Epp;29090318000192;AVENINDA HENRIQUE MOSCOSO Nº 717 SALA 801 - CENTRO DE VILA VELHA;Vila Velha;ES;29100021;angelo.baptista@uol.com.br;0885-0218;2;6;2028
BRASIL;Liman Consultoria E Logistica Ltda Me;21099258000167;RUA LUCIO BACELAR 513  APT 202  - PRAIA DA COSTA;Vila Velha;ES;29101030;angelo.baptista@uol.com.br;0882-0218;2;2;2028
BRASIL;Sl Soluções Logísticas S/A;28327069000143;Rua Padre Antônio Ribeiro Pinto, nº 195, sl. 605 - Praia do Sua;Vitória;ES;29052290;fernandoleite@slsl.com.br;0938-0918;9;21;2028
BRASIL;Slv Solucoes Logisticas Veicular Ltda;43456021000129;R PADRE ANTONIO RIBEIRO PINTO, Nº 195, SALA 603, ED. GUIZZARDI CENTER - PRAIA DO SUA;Vitória;ES;29052290;fernandoleite@slsl.com.br;1250-0522;5;9;2032
BRASIL;BTG PACTUAL COMMODITIES SERTRADING S.A.;4626426000106;Av. Nossa Senhora da Penha, 1.495 - ;Vitória;ES;4626426;ol-tax-commodities-brazil@btgpactual.com;1474-0225;2;20;2035
BRASIL;Vix Logística S.A.;32681371000172;avenida Jeronimo Vervloet, nº 345 - Goiabeiras;Vitória;ES;29075140;mara@vix.com.br;0947-1018;10;19;2028
BRASIL;Irb Logística Ltda;41905203000104;RUA BARROS VIANA, Nº 530 - FLORIANO;Barra Mansa;RJ;27365020;contato@riosolutions.srv.br;1199-1021;10;27;2031
BRASIL;Irb Logística Ltda;41905203000104;RUA BARROS VIANA, Nº 530 - FLORIANO;Barra Mansa;RJ;27365020; luclouro@hotmail.com;1199-1021;10;27;2031
BRASIL;Aeroporto Cabo Frio, Logística, Armazém Geral E Transporte Multimodal Ltda;7895102000161;EST VELHA DE ARRAIAL DO CABO, S/N,  PARTE CAIXA POSTAL 111685 - PRAIA DO SUDOESTE;Cabo Frio;RJ;28905970;kleber.meira@cabofrioairport.com.br;1033-1119;11;6;2029
BRASIL;Alfar Comércio, Logística E Manutenções Ltda;5551878000139;Estr. do Pilar, nº 126, Qd 29, Lt 13 - Chácara Rio-Petrópolis;Duque de Caxias;RJ;25230270;comercial@xamegolog.com.br;0731-1215;12;2;2025
BRASIL;Rodolog Transportes Multimodais Eireli;5214772000140;Rua Ilhéus, nº 230 - Bairro: Jardim Gramacho;Duque de Caxias;RJ;25055150;joel.barros@rodofly.com.br;0711-0915;9;21;2025
BRASIL;Transportes Carvalho Ltda;33570797000111;Rodovia Washington Luiz, nº 5.049 ;Duque de Caxias;RJ;25055009;secdir@carvalho.com.br;0034-0305;7;2;2035
BRASIL;Transportes Carvalho Ltda;33570797000111;Rodovia Washington Luiz, nº 5.049 ;Duque de Caxias;RJ;25055009;contabil@carvalho.com.br;0034-0305;7;2;2035
BRASIL;Maxpesa Construções Transportes Locações E Montagens Eireli;1117975000167;AVENIDA EMÍLIO DE MENEZES, S/N - QUADRA 11 - LOTE 10 - JARDIM PRIMAVERA;Duque de Caxias;RJ;25215255;comercial@maxpesa.com.br;1175-0621;6;25;2031
BRASIL;Rio Brazil Transportes E Representações Ltda-Me;3797837000100;Rua Gregório de Matos, nº 65 - Circular;Duque de Caxias;RJ;25070120;riobrazil@ig.com.br;0755-0516;5;10;2026
BRASIL;Matrix Log International Ltda;2565955000111;RUA GENERAL EUCLIDES DE FIGUEIREDO, S/N, QD 46, LT 52 - BRISA MAR;Itaguaí;RJ;23825450;leonardo@matrix.log.br;1415-0424;4;9;2034
BRASIL;Sepetiba Tecon S.A.;2394276000127;Estrada Prefeito Wilson Pedro Francisco, s/nº , Porto de Itaguai - Ilha da Madeira;Itaguaí;RJ;23826600;cesar.maas@csn.com.br;0767-0616;6;22;2026
BRASIL;Sva Macaé Cargas Expressas Ltda;44832588000115;Rua Teixeira de Gouvêa, nº 1.727, Lojas 11 e 12, Cajueiros;Macaé;RJ;27916000;meaf1@azulcargo.com.br;1387-1123;11;7;2033
BRASIL;Granihc Services S.A.;11010481000132;ESTRADA HILDEBRANDO ALVES BARBOSA, S/N, KM 06, ST. SÃO J. E ITAPARICA - BAIRRO - PARQUE AEROPORTO;Macaé;RJ;27963506;clarice.garcia@granihc.com;1041-1119;11;26;2029
BRASIL;Granihc Services S.A.;11010481000132;ESTRADA HILDEBRANDO ALVES BARBOSA, S/N, KM 06, ST. SÃO J. E ITAPARICA - BAIRRO - PARQUE AEROPORTO;Macaé;RJ;27963506; rodrigo.dantas@granihc.com.br;1041-1119;11;26;2029
BRASIL;Transportes São Geraldo Ltda;25284506000109;Rodovia Presidente Dutra nº 10501 - Rocha Sobrinho;Mesquita;RJ;26550150;tsg@tsg.com.br;0190-0606;6;26;2016
BRASIL;Pvax Consultoria E Logistica Ltda;12117414000184;Rua Monsenhor Raeder, nº 25, complemento 01 - Barreto;Niterói;RJ;24110814;comercial@pvax.com.br;1253-0522;5;18;2032
BRASIL;Empresa Brasileira De Transportes Ltda;1512675000182;Rua Tenório Cavalcante nº. 47 – Vila Catia;Nova Iguaçu;RJ;26010340;ebt@oi.com.br;0231-0207;2;23;2017
BRASIL;Elta Log Logística De Empresas Ltda;30840927000109;Estrada Bougainville nº 442 - Bloco F - Casa 06 - Jacarepaguá;Rio de Janeiro;RJ;22753210;comercial@eltalog.com.br;1380-0923;9;25;2033
BRASIL;D0 Logistics Ltda;27113589000190;EST RIO DOURO -  00801 BLC 1 ARM 10 BLC 1,ARM 11 BLC 1 ARM 12 BLC 1 ARM 13 - PARQUE COLUMBIA;Rio de Janeiro;RJ;21535030;REGULARIZACAO@FLRANGEL.COM.BR;1404-0224;2;5;2034
BRASIL;Data Certa Entregas Rápidas Ltda - Me;3686915000190;Rua Cuba, 228 - Penha;Rio de Janeiro;RJ;21020160;datacerta@datacertabrasil.com;0991-0619;6;12;2029
BRASIL;Despachos E Transportes Dms Ltda;31864044000193;RUA MAGALHÃES CORREIA, Nº 112 - HIGIENOPOLIS;Rio de Janeiro;RJ;21051510;marco.bilonia@dmslog.com;1173-0621;6;24;2031
BRASIL;G. Silva Transportes E Logística Ltda;33489352000101;Avenida Brasil, nº 11.727 e 11.875, com entrada suplementar pela rua Castelo Branco, s/nº - Penha;Rio de Janeiro;RJ;21012351;belacap@belacap.com.br;0760-0616;6;6;2026
BRASIL;Excommerce Assessoria Internacional Ltda-Epp;5753265000184;Rua Anfilofio de Carvalho, 29 - 605 a 610 - Centro;Rio de Janeiro;RJ;20030060;julio.dantas@excomrio.com.br;0587-1013;10;17;2023
